"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Kustavi Isokari","2023","4","1","00:00","-0.6","-0.4","-0.8","82","6","6.4","15","7.6","0","1007.5"
"Kustavi Isokari","2023","4","1","01:00","-0.7","-0.4","-1","84","5.3","5.7","30","6.4","0","1007.8"
"Kustavi Isokari","2023","4","1","02:00","-1","-0.9","-1.1","80","5.6","6.2","27","6.9","0","1007.9"
"Kustavi Isokari","2023","4","1","03:00","-1.2","-1","-1.5","78","5.4","6","23","6.7","0","1008.2"
"Kustavi Isokari","2023","4","1","04:00","-1","-0.8","-1.3","77","6.3","7.4","17","8.5","0","1008.4"
"Kustavi Isokari","2023","4","1","05:00","-1","-0.9","-1.2","75","7","7.3","21","8.5","0","1008.6"
"Kustavi Isokari","2023","4","1","06:00","-1.4","-1.1","-1.7","72","5.8","6.8","24","7.7","0","1008.9"
"Kustavi Isokari","2023","4","1","07:00","-1.7","-1.5","-1.8","72","6.2","6.5","24","7.4","0","1009.3"
"Kustavi Isokari","2023","4","1","08:00","-1.5","-1.4","-1.7","71","6.5","7.3","29","8.3","0","1009.8"
"Kustavi Isokari","2023","4","1","09:00","-1.4","-1.2","-1.6","69","5.3","5.9","24","7.1","0","1010.2"
"Kustavi Isokari","2023","4","1","10:00","-0.9","-0.4","-1.4","68","5.8","6.8","9","8.6","0","1010.5"
"Kustavi Isokari","2023","4","1","11:00","-0.2","0.2","-0.5","73","5.7","6.3","2","8.3","0","1010.8"
"Kustavi Isokari","2023","4","1","12:00","-0.1","0.4","-0.3","74","6.7","7.1","2","9.2","0","1011.2"
"Kustavi Isokari","2023","4","1","13:00","0.1","0.3","-0.2","75","8.3","9.7","356","11.2","0","1011.6"
"Kustavi Isokari","2023","4","1","14:00","0.6","0.9","0.1","75","8.5","9.3","357","11.7","0","1012"
"Kustavi Isokari","2023","4","1","15:00","1.1","1.3","0.9","73","9.7","10.2","354","12.6","0","1012.2"
"Kustavi Isokari","2023","4","1","16:00","1","1.2","0.9","74","9.6","10","349","12.8","0","1012.7"
"Kustavi Isokari","2023","4","1","17:00","1","1.2","0.8","73","9.6","10.3","350","13.3","0","1013"
"Kustavi Isokari","2023","4","1","18:00","1","1.1","1","69","10.5","10.9","353","13.7","0","1013.3"
"Kustavi Isokari","2023","4","1","19:00","0.9","1","0.8","71","10.3","10.9","354","13.7","0","1013.8"
"Kustavi Isokari","2023","4","1","20:00","0.7","0.8","0.5","74","10.6","11","357","13.9","0","1014.6"
"Kustavi Isokari","2023","4","1","21:00","0.5","0.6","0.4","75","9.3","10","5","12.8","0","1015.5"
"Kustavi Isokari","2023","4","1","22:00","0.5","0.6","0.4","76","10.1","10.3","11","13.1","0","1016.3"
"Kustavi Isokari","2023","4","1","23:00","0.3","0.5","0.2","77","9.2","10","10","11.9","0","1017.2"
"Kustavi Isokari","2023","4","2","00:00","0.3","0.4","0.2","78","8.4","8.8","14","10.5","0","1018.1"
"Kustavi Isokari","2023","4","2","01:00","0.4","0.6","0.3","72","7.5","8.1","20","8.9","0","1018.9"
"Kustavi Isokari","2023","4","2","02:00","0.3","0.4","0.1","64","6.5","7","25","7.9","0","1019.5"
"Kustavi Isokari","2023","4","2","03:00","-0.3","0.1","-0.5","65","5.5","6.4","15","7.3","0","1020.1"
"Kustavi Isokari","2023","4","2","04:00","-0.3","0","-0.6","77","5.5","6.3","11","7.2","0","1020.7"
"Kustavi Isokari","2023","4","2","05:00","-0.7","-0.2","-1.1","70","4.6","5.9","15","5.8","0","1021.5"
"Kustavi Isokari","2023","4","2","06:00","-1","-0.5","-1.4","71","3.2","4.5","19","5.6","0","1022.3"
"Kustavi Isokari","2023","4","2","07:00","-1.4","-0.9","-2.1","68","2.3","2.9","21","3.5","0","1022.9"
"Kustavi Isokari","2023","4","2","08:00","-1.1","-0.4","-2.1","72","2.8","3.4","7","3.8","0","1023.8"
"Kustavi Isokari","2023","4","2","09:00","-0.7","-0.3","-1.2","66","5.4","7.3","31","8.2","0","1024.8"
"Kustavi Isokari","2023","4","2","10:00","-0.9","-0.7","-1.2","63","6","6.5","22","7.5","0","1025.7"
"Kustavi Isokari","2023","4","2","11:00","-0.5","-0.1","-0.8","67","6.8","7.5","9","9.2","0","1026.5"
"Kustavi Isokari","2023","4","2","12:00","0","0.2","-0.3","65","8","8.7","2","11.3","0","1027.1"
"Kustavi Isokari","2023","4","2","13:00","0.1","0.3","-0.1","64","9.1","10.2","357","12.7","0","1027.7"
"Kustavi Isokari","2023","4","2","14:00","0.2","0.6","0","66","9.8","10.4","354","12.8","0","1028.3"
"Kustavi Isokari","2023","4","2","15:00","0.4","0.7","0.1","69","10.1","10.7","352","13.1","0","1028.9"
"Kustavi Isokari","2023","4","2","16:00","0.4","0.6","0.2","72","11.1","12","350","14.8","0","1029.3"
"Kustavi Isokari","2023","4","2","17:00","0.3","0.7","0.1","75","11","11.6","348","14.6","0","1029.7"
"Kustavi Isokari","2023","4","2","18:00","0.2","0.3","0","74","11.1","11.9","351","14.7","0","1030.1"
"Kustavi Isokari","2023","4","2","19:00","0.1","0.3","0","73","10.6","11.6","353","14.3","0","1030.5"
"Kustavi Isokari","2023","4","2","20:00","0.1","0.1","0","76","9.5","10.4","356","13.2","0","1031"
"Kustavi Isokari","2023","4","2","21:00","0.1","0.3","0","78","8.9","9.4","360","12.1","0","1031.6"
"Kustavi Isokari","2023","4","2","22:00","0.3","0.5","0.1","78","7.2","8.3","11","9.1","0","1032.3"
"Kustavi Isokari","2023","4","2","23:00","0.4","0.6","0.3","68","7.1","7.6","17","9","0","1033.1"
"Kustavi Isokari","2023","4","3","00:00","0.4","0.5","0.1","65","8","8.5","19","10.2","0","1033.5"
"Kustavi Isokari","2023","4","3","01:00","-0.1","0.2","-0.4","65","8.8","9.1","23","10.6","0","1033.8"
"Kustavi Isokari","2023","4","3","02:00","-0.6","-0.4","-0.9","65","8.5","8.8","28","10.2","0","1034.2"
"Kustavi Isokari","2023","4","3","03:00","-1.1","-0.9","-1.4","65","7.4","8","28","8.9","0","1034.5"
"Kustavi Isokari","2023","4","3","04:00","-1.7","-1.4","-1.9","66","6.7","7.3","26","8.2","0","1034.6"
