Name,Latitude,Longitude,Tmax,Tmin,y_Tmax,y_Tmin
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[0.3, -1.9, -1.2, 5.4, 7.7]","[-2.6, -4.9, -5.1, -9.6, 4.4]",7.1,5.7
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[6.4, 4.6, 3.1, 5.9, 6.3]","[4.4, 2.2, -1.5, 3.0, 5.1]",5.8,4.0
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[4.7, -2.1, 3.2, 4.5, 4.0]","[-2.6, -9.1, -9.2, -0.7, 0.5]",2.7,0.7
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[2.7, 0.9, 4.2, 2.7, 1.1]","[-3.4, -4.2, -2.1, -3.7, -7.8]",3.7,0.8
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[2.4, 5.8, 4.5, 4.8, 6.4]","[-2.0, -0.2, 2.5, -5.6, 3.6]",4.7,-0.8
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[0.7, 4.6, 3.3, 2.8, 6.4]","[-9.1, -7.6, -3.5, 0.1, 0.9]",7.9,1.4
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[5.5, 4.7, 6.9, 6.5, -0.1]","[-2.3, -0.3, 3.8, -0.9, -5.9]",0.2,-4.6
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[-1.9, -1.2, -2.3, -4.2, 0.8]","[-6.8, -12.5, -11.5, -13.5, -14.6]",4.2,-1.1
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[4.1, 2.0, 0.7, 0.2, 0.7]","[1.7, -5.1, -0.5, -1.2, -2.4]",3.8,-7.8
Jomala Maarianhamina lentoasema,60.12735,19.90038,"[5.8, 5.5, 6.1, 5.8, 6.7]","[3.5, 0.0, 2.2, 2.4, 2.4]",4.2,1.5
Jomala Jomalaby,60.17824,19.98686,"[0.1, -1.8, -1.0, 4.7, 8.1]","[-2.4, -6.4, -10.5, -7.4, 3.8]",7.7,5.9
Jomala Jomalaby,60.17824,19.98686,"[6.6, 4.6, 2.4, 5.9, 6.6]","[4.5, 2.2, -2.3, 2.3, 4.7]",6.3,3.8
Jomala Jomalaby,60.17824,19.98686,"[4.5, -0.5, 2.6, 3.8, 3.1]","[-4.1, -8.0, -8.7, -0.4, 0.6]",2.7,1.0
Jomala Jomalaby,60.17824,19.98686,"[2.5, 0.7, 3.9, 1.8, 0.5]","[-3.0, -3.1, -2.7, -3.1, -6.5]",3.3,0.2
Jomala Jomalaby,60.17824,19.98686,"[2.0, 5.4, 4.4, 4.6, 6.5]","[-2.3, -0.7, 1.5, -4.3, 3.3]",4.4,-1.0
Jomala Jomalaby,60.17824,19.98686,"[0.0, 4.4, 2.5, 2.5, 6.8]","[-5.3, -5.9, -1.1, 0.0, 0.4]",7.8,2.8
Jomala Jomalaby,60.17824,19.98686,"[5.4, 4.8, 6.7, 6.4, -1.2]","[-1.8, -0.3, 3.7, -2.7, -5.3]",-0.4,-5.4
Jomala Jomalaby,60.17824,19.98686,"[-2.2, -1.5, -2.3, -4.0, 0.5]","[-5.9, -12.0, -8.0, -10.1, -12.6]",4.1,-1.1
Jomala Jomalaby,60.17824,19.98686,"[3.9, 1.8, 0.6, 0.1, 0.6]","[1.5, -3.5, -0.8, -1.1, -3.4]",3.4,-6.3
