Station,lat,lon
Puumala kirkonkylä,61.52242,28.18491
Rovaniemi Apukka,66.57944,26.01094
Turku lentoasema,60.51565,22.27916
Juupajoki Hyytiälä,61.84591,24.28696
Inari Väylä,69.07219,27.4925
Kuusamo Kiutaköngäs,66.36999,29.31188
Vaasa lentoasema,63.05858,21.7546
Muonio Sammaltunturi,67.97328,24.11559
Vieremä Kaarakkala,63.8409,27.22061
Lieksa Lampela,63.32108,30.04578
Vantaa Helsinki-Vantaan lentoasema,60.32937,24.97274
Jomala Jomalaby,60.17824,19.98686
Kruunupyy Kokkola-Pietarsaari lentoasema,63.72655,23.14359
Kouvola Utti Lentoportintie,60.88909,26.92929
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379
Hailuoto Keskikylä,65.01967,24.72758
