Alajärvi Möksy 	101533	3314	2787	63.09	24.26	171	weather	1957
Asikkala Pulkkilanharju 	101185	1434	2727	61.27	25.52	79	weather	1991
Enontekiö Kilpisjärvi Saana 	102017	9004	2701	69.04	20.85	1001	weather	1991
Enontekiö Kilpisjärvi 	102016	9003	2801	69.04	20.81	482	weather	1951
Enontekiö Näkkälä 	102019	9201	2726	68.6	23.58	375	weather	1960
Enontekiö airport 	101976	8208	2802	68.36	23.43	308	weather	1999
Espoo Nuuksio 	852678	344	2986	60.29	24.57	90	weather	2014
Espoo Tapiola 	874863	342	2985	60.18	24.79	6	weather	2013
Haapavesi Mustikkamäki 	101695	4402	2797	64.14	25.42	112	weather, precipitation	1951
Hailuoto Keskikylä 	101776	5301	2874	65.02	24.73	6	weather	1950
Hailuoto Marjaniemi 	101784	5310	2873	65.04	24.56	7	weather, air quality (FMI)	1881
Halsua Purola 	101528	3309	2725	63.45	24.44	153	weather, precipitation	1958
Hammarland Märket 	100919	14	2993	60.3	19.13	3	weather	1885
Hanko Russarö 	100932	101	2982	59.77	22.95	6	weather	1881
Hanko Tulliniemi 	100946	115	2746	59.81	22.91	10	weather	1990
Hanko Tvärminne 	100953	202	2750	59.84	23.25	3	weather	1962
Hattula Lepaa 	101151	1323	2704	61.11	24.32	87	weather	1927
Heinola Asemantaus 	101196	1506	2768	61.2	26.05	93	weather	1908
Helsinki Harmaja 	100996	330	2795	60.11	24.98	6	weather	1989
Helsinki lighthouse 	101003	337	2989	59.95	24.93	0	weather	2003
Helsinki Kaisaniemi 	100971	304	2978	60.18	24.94	3	weather	1844
Helsinki Kumpula 	101004	339	2998	60.2	24.96	24	weather, precipitation, air quality (FMI)	2005
Helsinki Malmi airfield 	101009	401		60.25	25.05	15	weather	1937
Helsinki Vuosaari Käärmeniementie 	103943			60.22	25.17	9	weather	2016
Helsinki Vuosaari harbour 	151028	411		60.21	25.2	2	weather	2012
Hyvinkää Hyvinkäänkylä 	101130	1302	2829	60.6	24.8	86	weather	1930
Hämeenlinna Katinen 	101150	1322	2754	61	24.49	87	weather	2001
Hämeenlinna Lammi Pappila 	101154	1403	2767	61.05	25.04	125	weather	1963
Ilmajoki Seinäjoki airport 	137188			62.69	22.84	87	weather	2012
Ilomantsi Mekrijärvi 	101651	3919	2939	62.77	30.97	156	weather	1999
Ilomantsi Pötsönvaara 	101649	3917	2766	63.14	31.04	237	weather, air quality (FMI)	1997
Inari Angeli Lintupuoliselkä 	102026	9405	2857	68.9	25.74	285	weather	2008
Inari Ivalo airport 	102033	9601	2807	68.61	27.42	140	weather	1957
Inari Kaamanen 	102047	9616	2702	69.14	27.27	156	weather	2008
Inari Kirakkajärvi 	102055	9708	2858	69.58	28.89	106	weather	2009
Inari Nellim 	102052	9705	2835	68.85	28.3	121	weather	1951
Inari Raja-Jooseppi 	102009	8704	2818	68.48	28.3	253	weather, air quality (FMI)	1992
Inari Raja-Jooseppi Kontiojärvi 	102008			68.47	28.32	185	weather	1960
Inari Saariselkä Kaunispää 	102006	8607	2817	68.43	27.45	437	weather	1995
Inari Saariselkä tourist centre 	102005	8606	2722	68.42	27.41	304	weather	1976
Inari Seitalaassa 	129963	9617	2888	69.05	27.76	121	weather	2011
Inari Väylä 	102042	9611	2827	69.07	27.49	123	weather	1990
Inkoo Bågaskär 	100969	302	2984	59.93	24.01	13	weather	1954
Inkoo Jakobramsjö 	108020			59.99	24	0	weather	2023
Joensuu Linnunlahti 	101632	3825	2928	62.6	29.73	79	weather	2008
Jokioinen Ilmala 	101104	1201	2963	60.81	23.5	104	weather, sounding	1928
Jomala Jomalaby 	100917	11	2741	60.18	19.99	11	weather	1971
Jomala Mariehamn airport 	100907	1	2970	60.13	19.9	2	weather	1950
Joutsa Savenaho 	101367	2501	2771	61.88	26.09	145	weather	1946
Juuka Niemelä 	101609	3802	2791	63.23	29.23	115	weather	1914
Juupajoki Hyytiälä 	101317	2303	2770	61.85	24.29	154	weather, precipitation, air quality (FMI), air quality (urban)	1956
Juva Partala 	101418	2622	2736	61.89	27.89	110	weather	1992
Jyväskylä airport 	101339	2401	2935	62.4	25.67	139	weather	1945
Jyväskylä airport AWOS 	137208			62.39	25.69	124	weather	1999
Jämsä Halli Lentoasemantie 	101338	2324	2946	61.86	24.81	144	weather	1964
Jämsä Halli airport 	101315	2301	2945	61.86	24.8	144	weather	1964
Järvenpää Sorto 	103786			60.5	25.07	66	weather	2015
Kaarina Yltöinen 	100934	103	2828	60.39	22.55	6	weather	1927
Kajaani Petäisenniska 	126736	4620	2883	64.22	27.75	160	weather	2010
Kajaani airport 	101725	4601	2897	64.28	27.67	132	weather	1956
Kalajoki Ulkokalla 	101673	4212	2907	64.33	23.45	3	weather	1876
Kankaanpää Niinisalo airfield 	101291	2123	2753	61.84	22.46	123	weather	1940
Karvia Alkkia 	101272	2103	2708	62.18	22.8	162	weather	1966
Kaskinen Sälgrund 	101256	2002	2931	62.33	21.19	5	weather	1876
Kauhajoki Kuja-Kokko 	101289	2121	2769	62.41	22.18	93	weather	1986
Kauhava airfield 	101503	3201	2913	63.12	23.04	42	weather	1931
Kemi Ajos 	101846	6307	2862	65.67	24.52	3	weather	1973
Kemi I lighthouse 	101783	5309	2863	65.39	24.1	0	weather	1978
Kemi Kemi-Tornio airport 	101840	6301	2864	65.79	24.58	11	weather	1945
Kemijärvi airfield 	101950	7607	2814	66.72	27.16	208	weather	2006
Kemiönsaari Kemiö 	100951	120	2906	60.17	22.76	12	weather	2009
Kemiönsaari Vänö 	100945	114	2743	59.87	22.19	10	weather	1990
Kirkkonummi Mäkiluoto 	100997	331	2794	59.92	24.35	4	weather	1989
Kittilä Kenttärova 	101987	8312	2824	67.99	24.24	347	weather	2002
Kittilä Lompolonvuoma 	778135	8303	2764	68	24.21	270	weather, air quality (FMI)	2013
Kittilä Matorova 	101985	8310	2882	68	24.24	339	weather, air quality (FMI)	1995
Kittilä Pakatti 	101990	8315	2860	67.67	24.93	179	weather	2009
Kittilä Pokka 	101994	8404	2717	68.17	25.78	275	weather	1971
Kittilä airport 	101986	8311	2720	67.69	24.86	195	weather	1999
Kokemäki Tulkkila 	101103	1140	2937	61.25	22.35	38	weather	1912
Kokkola Santahaka 	101675	4214	2852	63.84	23.1	5	weather	2007
Kokkola Tankar 	101661	4109	2721	63.95	22.85	5	weather	1889
Korsnäs Bredskäret 	101479	3018	2780	62.93	21.18	5	weather	1991
Kotka Haapasaari 	101042	601	2967	60.29	27.18	4	weather	1986
Kotka Rankki 	101030	501	2976	60.38	26.96	11	weather	1933
Kouvola Anjala 	101194	1504	2830	60.7	26.81	31	weather	1941
Kouvola Utti Lentoportintie 	101219	1529	2956	60.89	26.93	96	weather	1944
Kouvola Utti airport 	101191	1501	2966	60.9	26.95	102	weather	1944
Kristiinankaupunki lighthouse 	101268	2014	2752	62.2	21.17	0	weather	1997
Kruunupyy Kokkola-Pietarsaari airport 	101662	4201	2903	63.73	23.14	25	weather	1960
Kuhmo Kalliojoki 	101773	4901	2799	64.3	30.17	196	weather	1997
