Station,lat,lon
Savonlinna lentoasema,61.94638,28.93238
Jyväskylä lentoasema AWOS,62.39332,25.68862
Inari Saariselkä matkailukeskus,68.41507,27.41323
Kokemäki Tulkkila,61.25294,22.34613
Rovaniemi Apukka,66.57944,26.01094
Nurmijärvi Röykkä,60.50872,24.65375
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379
Kuusamo Rukatunturi,66.16614,29.15177
Pyhäjärvi Ojakylä,63.73589,25.70573
Lumparland Långnäs satama,60.11584,20.29765
Seinäjoki Pelmaa,62.93808,22.48878
Kouvola Anjala,60.6965,26.81106
Kittilä Lompolonvuoma,67.99746,24.20955
Kuopio Savilahti,62.89256,27.63331
Hailuoto Marjaniemi,65.03975,24.56118
Lieksa Lampela,63.32108,30.04578
Kittilä Pokka,68.16961,25.78316
Vaasa lentoasema,63.05858,21.7546
Ähtäri Inha,62.55461,24.14239
Savukoski Tulppio,67.7687,29.21102
Salo Kiikala lentokenttä,60.46415,23.64976
Lappeenranta Lepola,61.05754,28.20873
Kajaani lentoasema,64.2829,27.67114
Kokkola Santahaka,63.83882,23.09715
Inari Kaamanen,69.14089,27.26567
Turku lentoasema,60.51565,22.27916
Helsinki Vuosaari Käärmeniementie,60.21935,25.17268
Pelkosenniemi Pyhätunturi,67.02191,27.21827
Juva Partala,61.8923,27.88528
Pori Tahkoluoto satama,61.63042,21.3762
Asikkala Pulkkilanharju,61.26521,25.52021
Inari Kirakkajärvi,69.5825,28.89409
Sotkamo Tuhkakylä,63.99618,28.05972
Vaala Pelso,64.50144,26.42386
Oulu lentoasema,64.93503,25.3392
Toholampi Laitala,63.82133,24.16323
Taivalkoski kirkonkylä,65.57489,28.21766
Inkoo Jakobramsjö,59.99464,23.9956
Tohmajärvi Kemie,62.23539,30.34662
Ilomantsi Pötsönvaara,63.14166,31.04454
Kemi Kemi-Tornio lentoasema,65.78944,24.58278
Inari Nellim,68.84928,28.29911
Jomala Maarianhamina lentoasema,60.12735,19.90038
Jämsä Halli lentoasema,61.85551,24.80459
Rautavaara Ylä-Luosta,63.37806,28.66166
Pello kirkonkylä,66.77278,23.96303
Enontekiö lentoasema,68.3614,23.42755
Tampere Härmälä,61.46561,23.74678
Liperi Joensuu lentoasema,62.65695,29.63608
Kittilä lentoasema,67.69168,24.85538
Kuhmo Kalliojoki,64.29756,30.17068
Vesanto kirkonkylä,62.92178,26.4247
Salla kirkonkylä,66.8166,28.68829
Pudasjärvi lentokenttä,65.40014,26.96311
Virolahti Koivuniemi,60.5272,27.67274
Kankaanpää Niinisalo lentokenttä,61.83864,22.46368
Kemiönsaari Vänö,59.86949,22.19343
Kustavi Isokari,60.7222,21.02681
Korsnäs Bredskäret,62.93488,21.18485
Utsjoki Nuorgam,70.08203,27.8965
