Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C01503,kt51_Inkoo,60.05374,23.99616,,,
C01504,vt2_Karkkila_Korpi,60.536727,24.235601,,,
C01505,kt52_Raasepori_Tenhola,60.061798,23.303264,,,
C01506,vt25_Myllylampi,60.311546,24.241007,,,
C01507,vt25_Hanko,59.856454,23.021452,,,
C01508,vt4_Mäntsälä,60.671599,25.350988,,,
C01509,vt3_Hyvinkää_Noppo,60.566139,24.818794,,,
C01510,st110_Lohja_Oinola,60.385844,23.904879,,,
C01513,st101_Helsinki_Pakila,60.244449,24.948435,,,
C01521,st101_Turvesuontie,60.199721,24.809299,,,
C01522,st101_Kalevalantie,60.186893,24.808657,,,
C01523,vt4_Helsinki_Tattarisuo,60.247251,25.06072,,,
C01524,kt51_Kirkkonummi_Jorvas,60.133523,24.511089,,,
C01526,vt1_Espoo_Kehä_III,60.220069,24.645423,,,
C01527,vt1_Espoo_Hista,60.244194,24.567094,,,
C01528,vt1_Kirkkonummi_Veikkola,60.273886,24.45371,,,
C01529,vt1_Vihti_Palojärvi,60.293397,24.366624,,,
C01530,vt1_Lohja_Hevoskallio,60.303066,24.271469,,,
C01531,vt1_Lohja_Muijala,60.301546,24.218153,,,
C01532,vt4_Vantaa_Leppäkorpi,60.360185,25.114463,,,
C01533,vt3_Vantaa_Klaukkala,60.354587,24.808415,,,
C01535,st101_Helsinki_Pirkkola,60.235281,24.899751,,,
C01536,st167_Myrskylä_Hallila,60.621867,25.862399,,,
C01538,vt6_Lapinjärvi,60.618436,26.199342,,,
C01539,VUO_SAT,60.224998,25.170316,,,
C01555,VUO_GUM,60.245129,25.14726,,,
C01556,VUO_NIIN,60.220715,25.160012,,,
C01568,kt50_Bemböle,60.223766,24.669609,,,
C01569,kt50_Järvenperä,60.241334,24.697792,,,
C01570,kt50_Espoo_Koskelonsilta,60.262249,24.732951,,,
C01571,kt50_Juvanmalmi,60.26782,24.761659,,,
C01572,kt50_Vihdintie,60.273993,24.804803,,,
C01573,kt50_Martinlaakso,60.287664,24.834897,,,
C01574,kt50_Hämeenlinnanväylä,60.292353,24.857657,,,
C01575,kt50_Tuupakka,60.297772,24.883598,,,
C01576,kt50_Kalliosola,60.296991,24.915988,,,
C01577,kt50_Lentoasema,60.294819,24.959519,,,
C01578,kt50_Tuusulanväylä,60.287801,24.9804,,,
C01579,kt50_Suutarila,60.285747,25.013957,,,
C01580,kt50_Vantaa_Tikkurila,60.282826,25.028912,,,
C01581,kt50_Lahdenväylä,60.27422,25.087171,,,
C01582,kt50_Porvoonväylä,60.257352,25.12546,,,
C01584,kt50_Kirkkonummi_Inkilä,60.137986,24.534527,,,
C01587,st100_Kivihaka_Masto,60.207997,24.898843,,,
C01590,st100_Kivihaka_Ilmala,60.208315,24.907594,,,
C01600,st101_Säterinsolmu,60.213076,24.816278,,,
C01601,st101_Perkkaa,60.215225,24.816388,,,
C01602,st101_Vermo,60.218286,24.816275,,,
C01603,st101_Turuntie,60.219932,24.816436,,,
C01615,st101_Puomi_Länsi,60.220779,24.81656,,,
C01616,st101_Vallikallio,60.226852,24.825366,,,
C01617,st101_Ramppi_Itä,60.227071,24.825081,,,
C01618,st101_Lintuvaara,60.228303,24.827347,,,
C01619,st101_Mäkkylä,60.228607,24.827796,,,
C01620,st101_Reimarla,60.229502,24.836388,,,
C01621,st101_Konala,60.230325,24.844443,,,
C01622,vt25_Raasepori,59.982241,23.435554,,,
C01623,vt1_Espoo_Lommila2,60.215551,24.661147,,,
C01624,vt25_Vihti_Haimoo,60.447062,24.51344,,,
C01625,vt2_Lohja_Salkola,60.632842,23.914248,,,
C01626,vt24_Padasjoki_Arrakoski,61.390201,25.188512,,,
C01627,vt25_Hanko_Santala,59.883032,23.148464,,,
C01628,vt7_Loviisa_Länsi,60.460589,26.192467,,,
