station,lat,lon,day,tmax,tmin
Alajärvi Möksy,63.08898,24.26084,2025-12-07,0.6,0.1
Alajärvi Möksy,63.08898,24.26084,2025-12-08,1.6,0.0
Alajärvi Möksy,63.08898,24.26084,2025-12-09,1.6,0.0
Alajärvi Möksy,63.08898,24.26084,2025-12-10,0.0,-1.6
Alajärvi Möksy,63.08898,24.26084,2025-12-11,-0.5,-3.5
Alajärvi Möksy,63.08898,24.26084,2025-12-12,-3.2,-15.6
Alajärvi Möksy,63.08898,24.26084,2025-12-13,-7.0,-16.6
Alajärvi Möksy,63.08898,24.26084,2025-12-14,-2.9,-7.0
Alajärvi Möksy,63.08898,24.26084,2025-12-15,2.4,-2.9
Alajärvi Möksy,63.08898,24.26084,2025-12-16,4.2,0.0
Alajärvi Möksy,63.08898,24.26084,2025-12-17,4.2,3.2
Alajärvi Möksy,63.08898,24.26084,2025-12-18,4.0,0.0
Alajärvi Möksy,63.08898,24.26084,2025-12-19,5.5,1.1
Alajärvi Möksy,63.08898,24.26084,2025-12-20,6.2,2.8
Alajärvi Möksy,63.08898,24.26084,2025-12-21,2.9,-0.7
Alajärvi Möksy,63.08898,24.26084,2025-12-22,0.5,-9.9
Alajärvi Möksy,63.08898,24.26084,2025-12-23,-3.5,-15.8
Alajärvi Möksy,63.08898,24.26084,2025-12-24,-3.2,-5.5
Alajärvi Möksy,63.08898,24.26084,2025-12-25,5.0,-3.5
Alajärvi Möksy,63.08898,24.26084,2025-12-26,3.8,-4.3
Alajärvi Möksy,63.08898,24.26084,2025-12-27,1.9,-3.3
Alajärvi Möksy,63.08898,24.26084,2025-12-28,-0.3,-8.8
Alajärvi Möksy,63.08898,24.26084,2025-12-29,0.1,-5.9
Alajärvi Möksy,63.08898,24.26084,2025-12-30,-4.7,-18.8
Alajärvi Möksy,63.08898,24.26084,2025-12-31,-15.3,-22.0
Alajärvi Möksy,63.08898,24.26084,2026-01-01,-16.5,-22.3
Alajärvi Möksy,63.08898,24.26084,2026-01-02,-13.6,-20.0
Alajärvi Möksy,63.08898,24.26084,2026-01-03,-12.4,-17.5
Alajärvi Möksy,63.08898,24.26084,2026-01-04,-17.4,-25.6
Alajärvi Möksy,63.08898,24.26084,2026-01-05,-10.4,-26.1
Alajärvi Möksy,63.08898,24.26084,2026-01-06,-10.5,-18.0
Alajärvi Möksy,63.08898,24.26084,2026-01-07,-10.5,-16.5
Alajärvi Möksy,63.08898,24.26084,2026-01-08,-14.4,-19.8
Alajärvi Möksy,63.08898,24.26084,2026-01-09,-18.3,-23.5
Alajärvi Möksy,63.08898,24.26084,2026-01-10,-13.4,-24.2
Alajärvi Möksy,63.08898,24.26084,2026-01-11,-8.1,-15.5
Alajärvi Möksy,63.08898,24.26084,2026-01-12,-8.6,-13.8
Alajärvi Möksy,63.08898,24.26084,2026-01-13,-9.2,-12.0
Alajärvi Möksy,63.08898,24.26084,2026-01-14,-6.4,-12.4
Alajärvi Möksy,63.08898,24.26084,2026-01-15,-5.9,-7.2
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-07,3.6,2.3
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-08,3.4,0.9
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-09,3.8,2.0
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-10,2.2,-0.5
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-11,6.6,-0.4
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-12,-0.4,-4.4
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-13,-2.9,-6.6
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-14,-0.8,-3.6
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-15,3.9,-0.9
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-16,5.9,3.9
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-17,6.3,3.9
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-18,6.5,1.4
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-19,6.4,3.8
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-20,7.3,4.7
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-21,5.7,1.7
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-22,2.5,-5.4
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-23,-4.1,-6.5
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-24,-1.1,-5.4
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-25,6.2,-1.1
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-26,5.5,1.6
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-27,3.5,-0.3
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-28,1.7,-3.7
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-29,1.8,-4.3
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-30,-2.4,-5.8
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-31,-5.4,-10.2
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-01,-9.0,-14.5
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-02,-9.3,-14.2
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-03,-8.0,-12.1
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-04,-12.0,-18.3
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-05,-10.6,-20.3
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-06,-9.1,-15.0
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-07,-7.2,-12.1
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-08,-11.5,-21.6
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-09,-18.0,-22.9
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-10,-8.8,-19.7
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-11,-6.2,-8.8
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-12,-6.5,-11.7
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-13,-6.1,-11.9
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-14,-5.0,-11.0
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-15,-4.8,-6.7
