station,lat,lon,day,tmax,tmin
Alajärvi Möksy,63.08898,24.26084,2025-12-31,-15.3,-22.0
Alajärvi Möksy,63.08898,24.26084,2026-01-01,-16.5,-22.3
Alajärvi Möksy,63.08898,24.26084,2026-01-02,-13.6,-20.0
Alajärvi Möksy,63.08898,24.26084,2026-01-03,-12.4,-17.5
Alajärvi Möksy,63.08898,24.26084,2026-01-04,-17.4,-25.6
Asikkala Pulkkilanharju,61.26521,25.52021,2025-12-31,-5.4,-10.2
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-01,-9.0,-14.5
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-02,-9.3,-14.2
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-03,-8.0,-12.1
Asikkala Pulkkilanharju,61.26521,25.52021,2026-01-04,-12.0,-18.3
Enontekiö Kilpisjärvi Saana,69.04277,20.85091,2025-12-31,-13.7,-18.4
Enontekiö Kilpisjärvi Saana,69.04277,20.85091,2026-01-01,-17.1,-20.2
Enontekiö Kilpisjärvi Saana,69.04277,20.85091,2026-01-02,-12.1,-21.2
Enontekiö Kilpisjärvi Saana,69.04277,20.85091,2026-01-03,-11.6,-16.4
Enontekiö Kilpisjärvi Saana,69.04277,20.85091,2026-01-04,-11.7,-15.4
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379,2025-12-31,-12.3,-35.3
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379,2026-01-01,-31.9,-39.3
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379,2026-01-02,-19.5,-39.9
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379,2026-01-03,-8.4,-29.5
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379,2026-01-04,-9.2,-33.9
Enontekiö Näkkälä,68.60301,23.57595,2025-12-31,-18.9,-31.1
Enontekiö Näkkälä,68.60301,23.57595,2026-01-01,-28.2,-33.3
Enontekiö Näkkälä,68.60301,23.57595,2026-01-02,-24.6,-32.5
Enontekiö Näkkälä,68.60301,23.57595,2026-01-03,-19.1,-30.5
Enontekiö Näkkälä,68.60301,23.57595,2026-01-04,-19.2,-34.4
Enontekiö lentoasema,68.3614,23.42755,2025-12-31,-18.4,-34.6
Enontekiö lentoasema,68.3614,23.42755,2026-01-01,-30.0,-36.2
Enontekiö lentoasema,68.3614,23.42755,2026-01-02,-24.0,-34.9
Enontekiö lentoasema,68.3614,23.42755,2026-01-03,-22.3,-34.2
Enontekiö lentoasema,68.3614,23.42755,2026-01-04,-21.7,-38.8
Espoo Nuuksio,60.29128,24.56782,2025-12-31,-7.7,-13.1
Espoo Nuuksio,60.29128,24.56782,2026-01-01,-10.0,-15.3
