idx,station,tmax,tmax_noisy
1,Jomala Jomalaby,5.9,6.814151239263294
2,Jomala Maarianhamina lentoasema,5.2,2.0800476812785136
3,Lumparland Långnäs satama,5.1,7.351353587419371
4,Kumlinge kirkonkylä,4.2,7.0216941491736415
5,Kaskinen Sälgrund,3.9,-1.953105565961509
6,Maarianhamina Länsisatama,3.4,-0.5065385205869544
7,Seinäjoki Pelmaa,2.9,3.283521209501856
8,Pyhtää lentokenttä,2.8,1.851272222969253
9,Kustavi Isokari,2.7,2.649596527487134
10,Hammarland Märket,2.5,-0.059131782720740045
11,Vaasa Klemettilä,2.5,5.138193924588485
12,Pori rautatieasema,2.4,4.733375806286845
13,Vaasa lentoasema,2.4,2.598092092683648
14,Pori Tahkoluoto satama,2.3,5.681723620904099
15,Pori lentoasema,2.3,3.702528026756137
16,Kauhajoki Kuja-Kokko,2.2,-0.37787738864971443
17,Porvoo Kilpilahti satama,2.2,3.3062523522474967
18,Lemland Nyhamn,2.1,-0.7766478024869965
19,Kokkola Santahaka,2.1,4.735350903921818
20,Rauma Kylmäpihlaja,2.1,1.9502222670412415
21,Kauhava lentokenttä,2.1,1.5454129093642184
22,Helsinki Kaisaniemi,2.0,-0.042788633211824134
23,Kruunupyy Kokkola-Pietarsaari lentoasema,2.0,5.66762401602209
24,Loviisa Orrengrund,2.0,1.5364115537935934
25,Hanko Russarö,2.0,0.7150165335106784
26,Porvoo Harabacka,1.9,0.843599348535311
27,Kemiönsaari Vänö,1.9,3.496927556660046
28,Rauma Pyynpää,1.9,2.996332193092235
29,Kristiinankaupunki Majakka,1.9,3.138197834787965
30,Helsinki Vuosaari satama,1.9,3.192463009023648
31,Hanko Tvärminne,1.9,8.324942802611384
32,Maalahti Strömmingsbådan,1.8,0.5807549508461534
33,Helsinki Kumpula,1.8,0.26327181278538814
34,Kokemäki Tulkkila,1.8,-0.6413181847436331
35,Hanko Tulliniemi,1.8,3.647938267726487
36,Salo Kärkkä,1.8,5.186916878162675
37,Espoo Tapiola,1.7,1.3581576270353748
38,Helsinki Malmi lentokenttä,1.7,-0.8204694308875842
39,Raasepori Jussarö,1.7,-0.7734436470737187
40,Helsinki Harmaja,1.7,3.6517783634741035
41,Kökar Bogskär,1.7,3.929762513610327
42,Kotka Haapasaari,1.7,3.329462804915585
43,Porvoo Kalbådagrund,1.7,-0.2965291218660828
44,Ilmajoki Seinäjoki lentoasema,1.7,2.396483969200159
45,Virolahti Koivuniemi,1.6,1.9500574274221847
46,Sipoo Itätoukki,1.6,2.256065790187039
47,Savonlinna lentoasema,1.6,4.214286333844569
48,Rantasalmi Rukkasluoto,1.6,2.270786646324047
49,Inkoo Jakobramsjö,1.6,3.6367406892156846
50,Parainen Utö,1.6,1.8027372084666744
51,Kemiönsaari Kemiö,1.6,2.4673581960699527
52,Kokkola Tankar,1.6,3.4938646775156212
53,Kirkkonummi Mäkiluoto,1.5,-2.8714674595669996
54,Inkoo Bågaskär,1.5,0.540986350928096
55,Kouvola Anjala,1.5,0.08888203712161347
56,Kotka Rankki,1.5,-0.4166335447300258
57,Varkaus Kosulanniemi,1.5,0.6745732463199487
58,Vihti Maasoja,1.4,5.8848239337031885
59,Lohja Porla,1.4,-1.1974933470797295
60,Juuka Niemelä,1.4,4.304835063774442
61,Parikkala Koitsanlahti,1.4,-3.648609314847415
62,Liperi Joensuu lentoasema,1.4,0.39534491004267536
63,Korsnäs Bredskäret,1.4,1.8882591953150167
64,Vantaa Helsinki-Vantaan lentoasema,1.3,3.058666994077835
65,Viitasaari Haapaniemi,1.3,3.433679739378565
66,Porvoo Emäsalo,1.3,3.680041705599776
