station,day,tmax
Alajärvi Möksy,2025-03-01,1.0
Asikkala Pulkkilanharju,2025-03-01,0.5
Enontekiö Kilpisjärvi Saana,2025-03-01,-5.5
Enontekiö Kilpisjärvi kyläkeskus,2025-03-01,-4.1
Enontekiö Näkkälä,2025-03-01,-3.9
Enontekiö lentoasema,2025-03-01,-3.0
Espoo Nuuksio,2025-03-01,0.5
Espoo Tapiola,2025-03-01,1.7
Haapavesi Mustikkamäki,2025-03-01,0.5
Hailuoto Keskikylä,2025-03-01,0.1
Hailuoto Marjaniemi,2025-03-01,0.1
Halsua Purola,2025-03-01,0.4
Hammarland Märket,2025-03-01,2.5
Hanko Russarö,2025-03-01,2.0
Hanko Tulliniemi,2025-03-01,1.8
Hanko Tvärminne,2025-03-01,1.9
Hattula Lepaa,2025-03-01,0.5
Heinola Asemantaus,2025-03-01,0.5
Helsinki Harmaja,2025-03-01,1.7
Helsinki Helsingin majakka,2025-03-01,1.2
Helsinki Kaisaniemi,2025-03-01,2.0
Helsinki Kumpula,2025-03-01,1.8
Helsinki Malmi lentokenttä,2025-03-01,1.7
Helsinki Vuosaari satama,2025-03-01,1.9
Hyvinkää Hyvinkäänkylä,2025-03-01,0.8
Hämeenlinna Katinen,2025-03-01,0.7
Hämeenlinna Lammi Pappila,2025-03-01,0.4
Ilmajoki Seinäjoki lentoasema,2025-03-01,1.7
Ilomantsi Mekrijärvi,2025-03-01,0.5
Ilomantsi Pötsönvaara,2025-03-01,-0.1
Inari Angeli Lintupuoliselkä,2025-03-01,-4.2
Inari Ivalo lentoasema,2025-03-01,-2.8
Inari Kaamanen,2025-03-01,-4.7
Inari Kirakkajärvi,2025-03-01,-4.1
Inari Nellim,2025-03-01,-2.0
Inari Raja-Jooseppi,2025-03-01,-3.3
Inari Raja-Jooseppi Kontiojärvi,2025-03-01,-2.9
Inari Saariselkä Kaunispää,2025-03-01,-5.2
Inari Saariselkä matkailukeskus,2025-03-01,-4.3
Inari Seitalaassa,2025-03-01,-4.6
Inari Väylä,2025-03-01,-4.7
Inkoo Bågaskär,2025-03-01,1.5
Inkoo Jakobramsjö,2025-03-01,1.6
Joensuu Linnunlahti,2025-03-01,1.2
Jokioinen Ilmala,2025-03-01,1.2
Jomala Jomalaby,2025-03-01,5.9
Jomala Maarianhamina lentoasema,2025-03-01,5.2
Joutsa Savenaho,2025-03-01,-0.1
Juuka Niemelä,2025-03-01,1.4
Juupajoki Hyytiälä,2025-03-01,0.1
Juva Partala,2025-03-01,0.9
Jyväskylä lentoasema AWOS,2025-03-01,0.9
Jämsä Halli lentoasema,2025-03-01,0.4
Kaarina Yltöinen,2025-03-01,1.2
Kajaani Petäisenniska,2025-03-01,0.7
Kajaani lentoasema,2025-03-01,0.8
Kalajoki Ulkokalla,2025-03-01,0.9
Kankaanpää Niinisalo lentokenttä,2025-03-01,0.4
Karvia Alkkia,2025-03-01,0.5
Kaskinen Sälgrund,2025-03-01,3.9
Kauhajoki Kuja-Kokko,2025-03-01,2.2
Kauhava lentokenttä,2025-03-01,2.1
Kemi Ajos,2025-03-01,-0.1
Kemi I majakka,2025-03-01,-0.2
Kemi Kemi-Tornio lentoasema,2025-03-01,-0.1
Kemijärvi lentokenttä,2025-03-01,-1.0
Kemiönsaari Kemiö,2025-03-01,1.6
Kemiönsaari Vänö,2025-03-01,1.9
Kirkkonummi Mäkiluoto,2025-03-01,1.5
Kittilä Kenttärova,2025-03-01,-3.0
Kittilä Lompolonvuoma,2025-03-01,-2.3
Kittilä Matorova,2025-03-01,-3.0
Kittilä Pakatti,2025-03-01,-1.6
Kittilä Pokka,2025-03-01,-3.0
Kittilä lentoasema,2025-03-01,-1.7
Kokemäki Tulkkila,2025-03-01,1.8
Kokkola Santahaka,2025-03-01,2.1
Kokkola Tankar,2025-03-01,1.6
Korsnäs Bredskäret,2025-03-01,1.4
Kotka Haapasaari,2025-03-01,1.7
Kotka Rankki,2025-03-01,1.5
Kouvola Anjala,2025-03-01,1.5
Kouvola Utti lentoasema,2025-03-01,0.9
Kristiinankaupunki Majakka,2025-03-01,1.9
Kruunupyy Kokkola-Pietarsaari lentoasema,2025-03-01,2.0
Kuhmo Kalliojoki,2025-03-01,-0.1
Kumlinge kirkonkylä,2025-03-01,4.2
Kuopio Maaninka,2025-03-01,0.5
Kuopio Ritoniemi,2025-03-01,1.1
