station,param,value
Porvoo Kilpilahti satama,tmin,20.7
Porvoo Kilpilahti satama,tmin,16.7
Porvoo Kilpilahti satama,tmin,16.4
Porvoo Kilpilahti satama,tmin,20.8
Porvoo Kilpilahti satama,tmin,18.2
Porvoo Kilpilahti satama,tmin,15.0
Porvoo Kilpilahti satama,tmin,12.6
Porvoo Kilpilahti satama,tmin,14.3
Porvoo Kilpilahti satama,tmin,13.5
Porvoo Kilpilahti satama,tmin,14.0
Porvoo Kilpilahti satama,tmin,13.6
Porvoo Kilpilahti satama,tmin,13.2
Porvoo Kilpilahti satama,tmin,12.2
Porvoo Kilpilahti satama,tmin,12.2
Porvoo Kilpilahti satama,tmin,14.7
Porvoo Kilpilahti satama,tmin,13.1
Porvoo Kilpilahti satama,tmin,10.0
Porvoo Kilpilahti satama,tmin,14.1
Porvoo Kilpilahti satama,tmin,13.3
Porvoo Kilpilahti satama,tmin,9.0
Porvoo Kilpilahti satama,tmin,8.2
Porvoo Kilpilahti satama,tmin,8.8
Porvoo Kilpilahti satama,tmin,7.4
Porvoo Kilpilahti satama,tmin,8.1
Porvoo Kilpilahti satama,tmin,10.0
Porvoo Kilpilahti satama,tmin,9.1
Porvoo Kilpilahti satama,tmin,9.9
Porvoo Kilpilahti satama,tmin,9.7
Porvoo Kilpilahti satama,tmin,12.3
Porvoo Kilpilahti satama,tmin,14.6
Porvoo Kilpilahti satama,tmin,14.7
Porvoo Kilpilahti satama,tmax,25.6
Porvoo Kilpilahti satama,tmax,22.9
Porvoo Kilpilahti satama,tmax,24.2
Porvoo Kilpilahti satama,tmax,26.1
Porvoo Kilpilahti satama,tmax,22.7
Porvoo Kilpilahti satama,tmax,20.1
Porvoo Kilpilahti satama,tmax,20.4
Porvoo Kilpilahti satama,tmax,19.7
Porvoo Kilpilahti satama,tmax,21.9
Porvoo Kilpilahti satama,tmax,21.1
Porvoo Kilpilahti satama,tmax,23.2
Porvoo Kilpilahti satama,tmax,19.4
Porvoo Kilpilahti satama,tmax,22.8
Porvoo Kilpilahti satama,tmax,19.1
Porvoo Kilpilahti satama,tmax,22.5
Porvoo Kilpilahti satama,tmax,20.3
Porvoo Kilpilahti satama,tmax,20.6
Porvoo Kilpilahti satama,tmax,21.6
Porvoo Kilpilahti satama,tmax,20.7
Porvoo Kilpilahti satama,tmax,16.2
Porvoo Kilpilahti satama,tmax,15.5
Porvoo Kilpilahti satama,tmax,14.0
Porvoo Kilpilahti satama,tmax,16.8
Porvoo Kilpilahti satama,tmax,15.9
Porvoo Kilpilahti satama,tmax,16.6
Porvoo Kilpilahti satama,tmax,17.5
Porvoo Kilpilahti satama,tmax,18.0
Porvoo Kilpilahti satama,tmax,15.2
Porvoo Kilpilahti satama,tmax,16.0
Porvoo Kilpilahti satama,tmax,16.4
Porvoo Kilpilahti satama,tmax,16.7
Jomala Maarianhamina lentoasema,tmin,13.0
Jomala Maarianhamina lentoasema,tmin,17.0
Jomala Maarianhamina lentoasema,tmin,18.1
Jomala Maarianhamina lentoasema,tmin,17.7
Jomala Maarianhamina lentoasema,tmin,15.8
Jomala Maarianhamina lentoasema,tmin,15.3
Jomala Maarianhamina lentoasema,tmin,14.8
Jomala Maarianhamina lentoasema,tmin,15.3
Jomala Maarianhamina lentoasema,tmin,16.4
Jomala Maarianhamina lentoasema,tmin,12.6
Jomala Maarianhamina lentoasema,tmin,9.7
Jomala Maarianhamina lentoasema,tmin,14.4
Jomala Maarianhamina lentoasema,tmin,10.2
Jomala Maarianhamina lentoasema,tmin,12.1
Jomala Maarianhamina lentoasema,tmin,18.0
Jomala Maarianhamina lentoasema,tmin,11.5
Jomala Maarianhamina lentoasema,tmin,11.4
Jomala Maarianhamina lentoasema,tmin,7.7
Jomala Maarianhamina lentoasema,tmin,11.8
Jomala Maarianhamina lentoasema,tmin,9.7
Jomala Maarianhamina lentoasema,tmin,6.7
Jomala Maarianhamina lentoasema,tmin,4.0
Jomala Maarianhamina lentoasema,tmin,9.2
Jomala Maarianhamina lentoasema,tmin,10.7
Jomala Maarianhamina lentoasema,tmin,9.2
Jomala Maarianhamina lentoasema,tmin,6.8
Jomala Maarianhamina lentoasema,tmin,5.3
Jomala Maarianhamina lentoasema,tmin,7.1
Jomala Maarianhamina lentoasema,tmin,12.8
Jomala Maarianhamina lentoasema,tmin,13.9
Jomala Maarianhamina lentoasema,tmin,11.8
Jomala Maarianhamina lentoasema,tmax,22.1
Jomala Maarianhamina lentoasema,tmax,20.8
Jomala Maarianhamina lentoasema,tmax,22.2
Jomala Maarianhamina lentoasema,tmax,21.6
Jomala Maarianhamina lentoasema,tmax,19.9
Jomala Maarianhamina lentoasema,tmax,19.9
Jomala Maarianhamina lentoasema,tmax,19.9
Jomala Maarianhamina lentoasema,tmax,19.6
