station,param,value
Porvoo Kilpilahti satama,tmin,-15.2
Porvoo Kilpilahti satama,tmin,-9.3
Porvoo Kilpilahti satama,tmin,-8.9
Porvoo Kilpilahti satama,tmin,-14.2
Porvoo Kilpilahti satama,tmin,-19.4
Porvoo Kilpilahti satama,tmin,-15.6
Porvoo Kilpilahti satama,tmin,-9.4
Porvoo Kilpilahti satama,tmin,-16.4
Porvoo Kilpilahti satama,tmin,-17.1
Porvoo Kilpilahti satama,tmin,-14.1
Porvoo Kilpilahti satama,tmin,-7.8
Porvoo Kilpilahti satama,tmin,-7.8
Porvoo Kilpilahti satama,tmin,-6.7
Porvoo Kilpilahti satama,tmin,-6.2
Porvoo Kilpilahti satama,tmin,-6.2
Porvoo Kilpilahti satama,tmin,-3.8
Porvoo Kilpilahti satama,tmin,-5.0
Porvoo Kilpilahti satama,tmin,-1.5
Porvoo Kilpilahti satama,tmin,-1.5
Porvoo Kilpilahti satama,tmin,-3.9
Porvoo Kilpilahti satama,tmin,-3.6
Porvoo Kilpilahti satama,tmin,-6.6
Porvoo Kilpilahti satama,tmin,-8.8
Porvoo Kilpilahti satama,tmin,-10.0
Porvoo Kilpilahti satama,tmin,-9.0
Porvoo Kilpilahti satama,tmin,-8.6
Porvoo Kilpilahti satama,tmin,-9.1
Porvoo Kilpilahti satama,tmin,-11.9
Porvoo Kilpilahti satama,tmin,-15.7
Porvoo Kilpilahti satama,tmin,-19.9
Porvoo Kilpilahti satama,tmin,-19.6
Porvoo Kilpilahti satama,tmax,-8.0
Porvoo Kilpilahti satama,tmax,-3.2
Porvoo Kilpilahti satama,tmax,-3.0
Porvoo Kilpilahti satama,tmax,-8.5
Porvoo Kilpilahti satama,tmax,-10.0
Porvoo Kilpilahti satama,tmax,-1.7
Porvoo Kilpilahti satama,tmax,-2.1
Porvoo Kilpilahti satama,tmax,-7.7
Porvoo Kilpilahti satama,tmax,-12.4
Porvoo Kilpilahti satama,tmax,-7.8
Porvoo Kilpilahti satama,tmax,-5.6
Porvoo Kilpilahti satama,tmax,-4.9
Porvoo Kilpilahti satama,tmax,-3.7
Porvoo Kilpilahti satama,tmax,-1.8
Porvoo Kilpilahti satama,tmax,-2.6
Porvoo Kilpilahti satama,tmax,0.5
Porvoo Kilpilahti satama,tmax,-1.5
Porvoo Kilpilahti satama,tmax,0.3
Porvoo Kilpilahti satama,tmax,0.2
Porvoo Kilpilahti satama,tmax,-1.4
Porvoo Kilpilahti satama,tmax,-1.3
Porvoo Kilpilahti satama,tmax,-2.9
Porvoo Kilpilahti satama,tmax,-6.3
Porvoo Kilpilahti satama,tmax,-6.9
Porvoo Kilpilahti satama,tmax,-6.0
Porvoo Kilpilahti satama,tmax,-6.0
Porvoo Kilpilahti satama,tmax,-6.8
Porvoo Kilpilahti satama,tmax,-8.4
Porvoo Kilpilahti satama,tmax,-8.6
Porvoo Kilpilahti satama,tmax,-11.1
Porvoo Kilpilahti satama,tmax,-12.7
Jomala Maarianhamina lentoasema,tmin,-15.6
Jomala Maarianhamina lentoasema,tmin,-5.2
Jomala Maarianhamina lentoasema,tmin,-5.1
Jomala Maarianhamina lentoasema,tmin,-9.0
Jomala Maarianhamina lentoasema,tmin,-21.4
Jomala Maarianhamina lentoasema,tmin,-17.4
Jomala Maarianhamina lentoasema,tmin,-4.0
Jomala Maarianhamina lentoasema,tmin,-10.3
Jomala Maarianhamina lentoasema,tmin,-11.4
Jomala Maarianhamina lentoasema,tmin,-17.7
Jomala Maarianhamina lentoasema,tmin,-5.3
Jomala Maarianhamina lentoasema,tmin,-7.9
Jomala Maarianhamina lentoasema,tmin,-11.3
Jomala Maarianhamina lentoasema,tmin,-2.4
Jomala Maarianhamina lentoasema,tmin,-1.1
Jomala Maarianhamina lentoasema,tmin,1.9
Jomala Maarianhamina lentoasema,tmin,2.2
Jomala Maarianhamina lentoasema,tmin,1.4
Jomala Maarianhamina lentoasema,tmin,0.9
Jomala Maarianhamina lentoasema,tmin,-1.8
Jomala Maarianhamina lentoasema,tmin,-2.5
Jomala Maarianhamina lentoasema,tmin,-3.9
Jomala Maarianhamina lentoasema,tmin,-4.8
Jomala Maarianhamina lentoasema,tmin,-4.8
Jomala Maarianhamina lentoasema,tmin,-5.3
Jomala Maarianhamina lentoasema,tmin,-9.6
Jomala Maarianhamina lentoasema,tmin,-10.1
Jomala Maarianhamina lentoasema,tmin,-13.8
Jomala Maarianhamina lentoasema,tmin,-11.7
Jomala Maarianhamina lentoasema,tmin,-9.1
Jomala Maarianhamina lentoasema,tmin,-9.3
Jomala Maarianhamina lentoasema,tmax,0.1
Jomala Maarianhamina lentoasema,tmax,-1.0
Jomala Maarianhamina lentoasema,tmax,-3.4
Jomala Maarianhamina lentoasema,tmax,-4.3
Jomala Maarianhamina lentoasema,tmax,-8.6
Jomala Maarianhamina lentoasema,tmax,-0.2
Jomala Maarianhamina lentoasema,tmax,0.7
Jomala Maarianhamina lentoasema,tmax,0.7
Jomala Maarianhamina lentoasema,tmax,-2.1
Jomala Maarianhamina lentoasema,tmax,-2.4
Jomala Maarianhamina lentoasema,tmax,-1.7
Jomala Maarianhamina lentoasema,tmax,-3.7
Jomala Maarianhamina lentoasema,tmax,-1.0
Jomala Maarianhamina lentoasema,tmax,0.8
Jomala Maarianhamina lentoasema,tmax,2.9
Jomala Maarianhamina lentoasema,tmax,3.7
Jomala Maarianhamina lentoasema,tmax,4.1
Jomala Maarianhamina lentoasema,tmax,3.5
Jomala Maarianhamina lentoasema,tmax,2.9
Jomala Maarianhamina lentoasema,tmax,1.3
Jomala Maarianhamina lentoasema,tmax,0.1
Jomala Maarianhamina lentoasema,tmax,-0.8
Jomala Maarianhamina lentoasema,tmax,-3.5
Jomala Maarianhamina lentoasema,tmax,-3.8
Jomala Maarianhamina lentoasema,tmax,-4.3
Jomala Maarianhamina lentoasema,tmax,-2.2
Jomala Maarianhamina lentoasema,tmax,-2.4
Jomala Maarianhamina lentoasema,tmax,-6.5
Jomala Maarianhamina lentoasema,tmax,-6.1
Jomala Maarianhamina lentoasema,tmax,-4.6
Jomala Maarianhamina lentoasema,tmax,-4.3
Parainen Utö,tmin,-5.5
Parainen Utö,tmin,-2.0
Parainen Utö,tmin,-3.0
Parainen Utö,tmin,-7.6
Parainen Utö,tmin,-8.3
Parainen Utö,tmin,-3.3
Parainen Utö,tmin,-1.1
Parainen Utö,tmin,-2.7
Parainen Utö,tmin,-6.6
Parainen Utö,tmin,-6.3
Parainen Utö,tmin,-5.1
Parainen Utö,tmin,-5.4
Parainen Utö,tmin,-3.6
Parainen Utö,tmin,-3.3
Parainen Utö,tmin,-2.0
Parainen Utö,tmin,0.8
Parainen Utö,tmin,0.6
Parainen Utö,tmin,1.8
Parainen Utö,tmin,1.3
Parainen Utö,tmin,-0.2
Parainen Utö,tmin,-2.7
Parainen Utö,tmin,-3.8
Parainen Utö,tmin,-4.7
Parainen Utö,tmin,-5.4
Parainen Utö,tmin,-5.8
Parainen Utö,tmin,-4.2
Parainen Utö,tmin,-7.0
Parainen Utö,tmin,-9.6
Parainen Utö,tmin,-9.2
Parainen Utö,tmin,-5.9
Parainen Utö,tmin,-7.4
Parainen Utö,tmax,0.4
Parainen Utö,tmax,-0.1
Parainen Utö,tmax,0.8
Parainen Utö,tmax,-2.7
Parainen Utö,tmax,-2.6
Parainen Utö,tmax,0.6
Parainen Utö,tmax,0.9
Parainen Utö,tmax,-0.1
Parainen Utö,tmax,-1.5
Parainen Utö,tmax,-4.7
Parainen Utö,tmax,-4.2
Parainen Utö,tmax,-2.1
Parainen Utö,tmax,-0.8
Parainen Utö,tmax,-0.4
Parainen Utö,tmax,3.1
Parainen Utö,tmax,3.6
Parainen Utö,tmax,3.6
Parainen Utö,tmax,3.6
Parainen Utö,tmax,3.2
Parainen Utö,tmax,1.9
Parainen Utö,tmax,0.4
Parainen Utö,tmax,-0.5
Parainen Utö,tmax,-3.1
Parainen Utö,tmax,-3.8
Parainen Utö,tmax,-4.1
Parainen Utö,tmax,-1.9
Parainen Utö,tmax,-2.3
Parainen Utö,tmax,-6.3
Parainen Utö,tmax,-4.4
Parainen Utö,tmax,-3.0
Parainen Utö,tmax,-4.1
Lemland Nyhamn,tmin,-3.6
Lemland Nyhamn,tmin,-3.0
Lemland Nyhamn,tmin,-3.4
Lemland Nyhamn,tmin,-7.6
Lemland Nyhamn,tmin,-8.0
Lemland Nyhamn,tmin,-1.8
Lemland Nyhamn,tmin,-2.2
Lemland Nyhamn,tmin,-1.1
Lemland Nyhamn,tmin,-6.7
Lemland Nyhamn,tmin,-6.4
Lemland Nyhamn,tmin,-4.7
Lemland Nyhamn,tmin,-4.8
Lemland Nyhamn,tmin,-2.3
Lemland Nyhamn,tmin,-1.4
Lemland Nyhamn,tmin,-0.2
Lemland Nyhamn,tmin,2.6
Lemland Nyhamn,tmin,3.0
Lemland Nyhamn,tmin,2.6
Lemland Nyhamn,tmin,1.5
Lemland Nyhamn,tmin,-1.1
Lemland Nyhamn,tmin,-2.1
Lemland Nyhamn,tmin,-2.8
Lemland Nyhamn,tmin,-3.6
Lemland Nyhamn,tmin,-3.9
Lemland Nyhamn,tmin,-4.4
Lemland Nyhamn,tmin,-3.7
Lemland Nyhamn,tmin,-6.3
Lemland Nyhamn,tmin,-7.5
Lemland Nyhamn,tmin,-8.2
Lemland Nyhamn,tmin,-4.3
Lemland Nyhamn,tmin,-5.5
Lemland Nyhamn,tmax,2.1
Lemland Nyhamn,tmax,0.0
Lemland Nyhamn,tmax,-1.3
Lemland Nyhamn,tmax,-2.6
Lemland Nyhamn,tmax,-1.6
Lemland Nyhamn,tmax,1.9
Lemland Nyhamn,tmax,1.9
Lemland Nyhamn,tmax,1.9
Lemland Nyhamn,tmax,-0.6
Lemland Nyhamn,tmax,-1.7
Lemland Nyhamn,tmax,-1.1
Lemland Nyhamn,tmax,-1.8
Lemland Nyhamn,tmax,0.2
Lemland Nyhamn,tmax,1.6
Lemland Nyhamn,tmax,3.6
Lemland Nyhamn,tmax,4.3
Lemland Nyhamn,tmax,4.3
Lemland Nyhamn,tmax,3.9
Lemland Nyhamn,tmax,3.7
Lemland Nyhamn,tmax,2.2
Lemland Nyhamn,tmax,1.8
Lemland Nyhamn,tmax,0.1
Lemland Nyhamn,tmax,-2.3
Lemland Nyhamn,tmax,-2.6
Lemland Nyhamn,tmax,-3.3
Lemland Nyhamn,tmax,-1.7
Lemland Nyhamn,tmax,-1.9
Lemland Nyhamn,tmax,-5.0
Lemland Nyhamn,tmax,-3.6
Lemland Nyhamn,tmax,-2.3
Lemland Nyhamn,tmax,-2.1
Jomala Jomalaby,tmin,-11.3
Jomala Jomalaby,tmin,-5.3
Jomala Jomalaby,tmin,-5.2
Jomala Jomalaby,tmin,-8.8
Jomala Jomalaby,tmin,-18.8
Jomala Jomalaby,tmin,-18.4
