station,lat,lon
Porvoo Kilpilahti satama,60.30373,25.54916
Jomala Maarianhamina lentoasema,60.12735,19.90038
Lemland Nyhamn,59.95911,19.95374
Jomala Jomalaby,60.17824,19.98686
Hammarland Märket,60.30098,19.13142
Parainen Fagerholm,60.11163,21.69828
Kumlinge kirkonkylä,60.25823,20.74698
Kaarina Yltöinen,60.3869,22.55183
Kemiönsaari Vänö,59.86949,22.19343
Turku Rajakari,60.37788,22.0964
Turku Artukainen,60.45439,22.1787
Kemiönsaari Kemiö,60.17123,22.75768
Salo Kärkkä,60.37475,23.11661
Salo Kiikala lentokenttä,60.46415,23.64976
Vantaa Helsinki-Vantaan lentoasema,60.32937,24.97274
Inkoo Bågaskär,59.93114,24.01408
Helsinki Kaisaniemi,60.17523,24.94459
Lohja Porla,60.24446,24.04951
Vihti Maasoja,60.41875,24.39862
Helsinki Harmaja,60.10512,24.97539
Kirkkonummi Mäkiluoto,59.91982,24.35023
Helsinki Kumpula,60.20307,24.96131
Helsinki Malmi lentokenttä,60.25299,25.04549
Porvoo Kalbådagrund,59.98568,25.59879
Porvoo Emäsalo,60.20382,25.62546
Porvoo Harabacka,60.39172,25.6073
Kotka Rankki,60.37538,26.95893
Loviisa Orrengrund,60.27476,26.44759
Kotka Haapasaari,60.28676,27.18482
Pori lentoasema,61.46011,21.80839
Kustavi Isokari,60.7222,21.02681
Rauma Kylmäpihlaja,61.14475,21.30273
Turku lentoasema,60.51565,22.27916
Kokemäki Tulkkila,61.25294,22.34613
Jokioinen Ilmala,60.81397,23.49825
Pirkkala Tampere-Pirkkala lentoasema,61.4194,23.62256
Tampere Härmälä,61.46561,23.74678
Somero Salkola,60.64668,23.80559
Hyvinkää Hyvinkäänkylä,60.59589,24.80297
Nurmijärvi Röykkä,60.50872,24.65375
Hämeenlinna Katinen,60.9992,24.49163
Hattula Lepaa,61.11454,24.32449
Hämeenlinna Lammi Pappila,61.05408,25.03844
Asikkala Pulkkilanharju,61.26521,25.52021
Kouvola Utti lentoasema,60.89839,26.94882
Kouvola Anjala,60.6965,26.81106
Heinola Asemantaus,61.20008,26.04967
Virolahti Koivuniemi,60.5272,27.67274
Lappeenranta lentoasema,61.0403,28.12916
Lappeenranta Konnunsuo,61.03879,28.56395
Lappeenranta Hiekkapakka,61.1982,28.47308
Parikkala Koitsanlahti,61.44467,29.46108
Kaskinen Sälgrund,62.33382,21.19081
Pori Tahkoluoto satama,61.63042,21.3762
Karvia Alkkia,62.18329,22.79983
Kauhajoki Kuja-Kokko,62.41345,22.18372
Kankaanpää Niinisalo lentokenttä,61.83864,22.46368
Virrat Äijänneva,62.32783,23.54228
Tampere Siilinkari,61.51757,23.75388
Jämsä Halli lentoasema,61.85551,24.80459
Juupajoki Hyytiälä,61.84591,24.28696
Luhanka Judinsalo,61.70448,25.50529
Joutsa Savenaho,61.87942,26.09478
Juva Partala,61.8923,27.88528
Varkaus Kosulanniemi,62.32221,27.90785
Savonlinna lentoasema,61.94638,28.93238
Rantasalmi Rukkasluoto,62.06302,28.56618
Savonlinna Punkaharju Laukansaari,61.80186,29.31506
Tohmajärvi Kemie,62.23539,30.34662
Vaasa lentoasema,63.05858,21.7546
Mustasaari Valassaaret,63.43508,21.06856
Korsnäs Bredskäret,62.93488,21.18485
Maalahti Strömmingsbådan,62.97839,20.74008
Vaasa Klemettilä,63.09871,21.63938
Seinäjoki Pelmaa,62.93808,22.48878
Kauhava lentokenttä,63.12033,23.04364
Ähtäri Inha,62.55461,24.14239
Halsua Purola,63.44564,24.44422
Alajärvi Möksy,63.08898,24.26084
Multia Karhila,62.51044,24.80764
Viitasaari Haapaniemi,63.08225,25.85862
Vesanto kirkonkylä,62.92178,26.4247
Siilinjärvi Kuopio lentoasema,62.99842,27.80817
Kuopio Maaninka,63.14343,27.31317
Kuopio Ritoniemi,62.79892,27.90495
Kuopio Savilahti,62.89256,27.63331
Rautavaara Ylä-Luosta,63.37806,28.66166
Liperi Joensuu lentoasema,62.65695,29.63608
Juuka Niemelä,63.23236,29.23397
Liperi Tuiskavanluoto,62.54601,29.66818
Joensuu Linnunlahti,62.60179,29.72713
Lieksa Lampela,63.32108,30.04578
Ilomantsi Mekrijärvi,62.76942,30.97467
Pietarsaari Kallan,63.75144,22.52282
Kokkola Tankar,63.95114,22.84537
Kruunupyy Kokkola-Pietarsaari lentoasema,63.72655,23.14359
Kalajoki Ulkokalla,64.33073,23.44627
Kokkola Santahaka,63.83882,23.09715
Toholampi Laitala,63.82133,24.16323
Ylivieska lentokenttä,64.05029,24.72468
