station,day,tmax,tmin
Helsinki Kaisaniemi,2024-01-01,-13.7,-17.4
Helsinki Kaisaniemi,2024-01-02,-14.2,-19.0
Helsinki Kaisaniemi,2024-01-03,-14.8,-19.4
Helsinki Kaisaniemi,2024-01-04,-15.4,-18.9
Helsinki Kaisaniemi,2024-01-05,-15.2,-17.2
Helsinki Kaisaniemi,2024-01-06,-13.2,-16.7
Helsinki Kaisaniemi,2024-01-07,-16.5,-21.2
Helsinki Kaisaniemi,2024-01-08,-2.9,-19.8
Helsinki Kaisaniemi,2024-01-09,2.5,-4.0
Helsinki Kaisaniemi,2024-01-10,2.4,-0.2
Helsinki Kaisaniemi,2024-01-11,2.4,-9.2
Helsinki Kaisaniemi,2024-01-12,-3.7,-11.5
Helsinki Kaisaniemi,2024-01-13,-5.4,-16.6
Helsinki Kaisaniemi,2024-01-14,-4.7,-6.5
Helsinki Kaisaniemi,2024-01-15,-5.1,-12.2
Helsinki Kaisaniemi,2024-01-16,-12.1,-18.0
Helsinki Kaisaniemi,2024-01-17,-2.5,-20.3
Helsinki Kaisaniemi,2024-01-18,-2.2,-5.9
Helsinki Kaisaniemi,2024-01-19,-3.0,-12.9
Helsinki Kaisaniemi,2024-01-20,-9.7,-18.5
Helsinki Kaisaniemi,2024-01-21,-0.1,-19.2
Helsinki Kaisaniemi,2024-01-22,1.7,-0.6
Helsinki Kaisaniemi,2024-01-23,3.6,1.7
Helsinki Kaisaniemi,2024-01-24,2.4,0.1
Helsinki Kaisaniemi,2024-01-25,0.9,-2.7
Helsinki Kaisaniemi,2024-01-26,-2.7,-7.8
Helsinki Kaisaniemi,2024-01-27,-0.9,-3.9
Helsinki Kaisaniemi,2024-01-28,2.7,-1.0
Helsinki Kaisaniemi,2024-01-29,3.6,1.6
Helsinki Kaisaniemi,2024-01-30,2.5,-1.4
Helsinki Kaisaniemi,2024-01-31,1.9,-0.3
Helsinki Kaisaniemi,2024-02-01,3.4,1.1
Helsinki Kaisaniemi,2024-02-02,1.7,-1.0
Helsinki Kaisaniemi,2024-02-03,3.2,0.2
Helsinki Kaisaniemi,2024-02-04,3.0,-1.0
Helsinki Kaisaniemi,2024-02-05,-0.5,-3.8
Helsinki Kaisaniemi,2024-02-06,-1.9,-6.0
Helsinki Kaisaniemi,2024-02-07,-6.0,-13.7
Helsinki Kaisaniemi,2024-02-08,-10.2,-16.6
Helsinki Kaisaniemi,2024-02-09,-9.0,-17.0
Helsinki Kaisaniemi,2024-02-10,-9.4,-15.9
Helsinki Kaisaniemi,2024-02-11,-7.3,-14.3
Helsinki Kaisaniemi,2024-02-12,-4.7,-8.5
Helsinki Kaisaniemi,2024-02-13,-5.0,-8.7
Helsinki Kaisaniemi,2024-02-14,0.9,-5.5
Helsinki Kaisaniemi,2024-02-15,0.8,-1.9
Helsinki Kaisaniemi,2024-02-16,1.4,-0.4
Helsinki Kaisaniemi,2024-02-17,4.0,0.1
Helsinki Kaisaniemi,2024-02-18,1.4,-4.2
Helsinki Kaisaniemi,2024-02-19,0.2,-7.0
Helsinki Kaisaniemi,2024-02-20,0.2,-0.9
Helsinki Kaisaniemi,2024-02-21,0.5,-0.5
Helsinki Kaisaniemi,2024-02-22,2.5,0.2
Helsinki Kaisaniemi,2024-02-23,3.0,1.1
Helsinki Kaisaniemi,2024-02-24,3.4,0.5
Helsinki Kaisaniemi,2024-02-25,4.2,1.0
Helsinki Kaisaniemi,2024-02-26,3.1,-0.6
Helsinki Kaisaniemi,2024-02-27,1.2,-0.9
Helsinki Kaisaniemi,2024-02-28,1.2,-2.7
Helsinki Kaisaniemi,2024-02-29,2.5,-0.1
Helsinki Kaisaniemi,2024-03-01,1.6,0.2
Helsinki Kaisaniemi,2024-03-02,1.7,0.2
Helsinki Kaisaniemi,2024-03-03,2.6,-0.1
Helsinki Kaisaniemi,2024-03-04,3.5,-2.0
Helsinki Kaisaniemi,2024-03-05,2.0,-1.5
Helsinki Kaisaniemi,2024-03-06,3.3,-5.3
Helsinki Kaisaniemi,2024-03-07,0.1,-5.1
Helsinki Kaisaniemi,2024-03-08,-2.2,-5.8
Helsinki Kaisaniemi,2024-03-09,0.9,-3.2
Helsinki Kaisaniemi,2024-03-10,4.4,-6.1
Helsinki Kaisaniemi,2024-03-11,3.6,-4.1
Helsinki Kaisaniemi,2024-03-12,3.2,-3.4
Helsinki Kaisaniemi,2024-03-13,2.3,-3.4
Helsinki Kaisaniemi,2024-03-14,3.7,1.1
Helsinki Kaisaniemi,2024-03-15,4.2,2.7
Helsinki Kaisaniemi,2024-03-16,5.0,3.0
Helsinki Kaisaniemi,2024-03-17,4.9,-3.2
Helsinki Kaisaniemi,2024-03-18,0.6,-7.3
Helsinki Kaisaniemi,2024-03-19,0.9,-2.1
Helsinki Kaisaniemi,2024-03-20,1.7,0.0
Helsinki Kaisaniemi,2024-03-21,2.2,0.4
Helsinki Kaisaniemi,2024-03-22,2.4,0.4
Helsinki Kaisaniemi,2024-03-23,4.9,1.5
Helsinki Kaisaniemi,2024-03-24,3.9,-0.8
Helsinki Kaisaniemi,2024-03-25,2.1,-1.6
Helsinki Kaisaniemi,2024-03-26,2.3,-1.6
Helsinki Kaisaniemi,2024-03-27,5.8,-0.1
Helsinki Kaisaniemi,2024-03-28,8.5,2.5
Helsinki Kaisaniemi,2024-03-29,7.2,3.0
Helsinki Kaisaniemi,2024-03-30,9.3,2.8
Helsinki Kaisaniemi,2024-03-31,7.6,-0.5
Helsinki Kaisaniemi,2024-04-01,12.2,4.4
Helsinki Kaisaniemi,2024-04-02,8.9,0.8
Helsinki Kaisaniemi,2024-04-03,0.8,-2.3
Helsinki Kaisaniemi,2024-04-04,0.8,-5.0
Helsinki Kaisaniemi,2024-04-05,-0.9,-2.8
Helsinki Kaisaniemi,2024-04-06,3.7,-1.2
Helsinki Kaisaniemi,2024-04-07,7.1,-3.1
Helsinki Kaisaniemi,2024-04-08,9.1,2.9
Helsinki Kaisaniemi,2024-04-09,12.8,4.0
Helsinki Kaisaniemi,2024-04-10,12.1,5.0
Helsinki Kaisaniemi,2024-04-11,9.0,4.8
Helsinki Kaisaniemi,2024-04-12,13.3,4.6
Helsinki Kaisaniemi,2024-04-13,8.7,3.2
Helsinki Kaisaniemi,2024-04-14,6.8,3.0
Helsinki Kaisaniemi,2024-04-15,11.1,3.3
Helsinki Kaisaniemi,2024-04-16,7.4,2.3
Helsinki Kaisaniemi,2024-04-17,4.8,1.1
Helsinki Kaisaniemi,2024-04-18,2.2,-1.1
Helsinki Kaisaniemi,2024-04-19,0.5,-3.0
Helsinki Kaisaniemi,2024-04-20,0.4,-3.5
Helsinki Kaisaniemi,2024-04-21,2.9,-2.1
Helsinki Kaisaniemi,2024-04-22,1.4,-2.0
Helsinki Kaisaniemi,2024-04-23,1.1,-1.4
Helsinki Kaisaniemi,2024-04-24,5.2,-0.1
Helsinki Kaisaniemi,2024-04-25,5.4,2.6
Helsinki Kaisaniemi,2024-04-26,6.8,1.8
Helsinki Kaisaniemi,2024-04-27,8.7,2.3
Helsinki Kaisaniemi,2024-04-28,9.8,4.1
Helsinki Kaisaniemi,2024-04-29,18.1,4.8
Helsinki Kaisaniemi,2024-04-30,16.9,6.9
Helsinki Kaisaniemi,2024-05-01,14.3,7.3
Helsinki Kaisaniemi,2024-05-02,14.5,4.5
Helsinki Kaisaniemi,2024-05-03,15.1,5.9
Helsinki Kaisaniemi,2024-05-04,21.3,9.5
Helsinki Kaisaniemi,2024-05-05,17.3,7.3
Helsinki Kaisaniemi,2024-05-06,8.7,4.2
Helsinki Kaisaniemi,2024-05-07,9.6,2.4
Helsinki Kaisaniemi,2024-05-08,8.6,-0.1
Helsinki Kaisaniemi,2024-05-09,8.5,1.7
Helsinki Kaisaniemi,2024-05-10,13.5,5.3
Helsinki Kaisaniemi,2024-05-11,15.5,4.4
Helsinki Kaisaniemi,2024-05-12,14.1,4.5
Helsinki Kaisaniemi,2024-05-13,15.5,9.0
Helsinki Kaisaniemi,2024-05-14,15.6,8.8
Helsinki Kaisaniemi,2024-05-15,19.9,7.6
Helsinki Kaisaniemi,2024-05-16,23.3,11.6
Helsinki Kaisaniemi,2024-05-17,21.8,12.6
Helsinki Kaisaniemi,2024-05-18,18.0,10.0
Helsinki Kaisaniemi,2024-05-19,20.0,9.5
Helsinki Kaisaniemi,2024-05-20,20.0,12.7
Helsinki Kaisaniemi,2024-05-21,17.2,8.7
Helsinki Kaisaniemi,2024-05-22,18.6,8.2
Helsinki Kaisaniemi,2024-05-23,22.7,12.7
Helsinki Kaisaniemi,2024-05-24,23.3,13.4
Helsinki Kaisaniemi,2024-05-25,25.3,14.3
Helsinki Kaisaniemi,2024-05-26,23.2,15.1
Helsinki Kaisaniemi,2024-05-27,24.0,15.5
Helsinki Kaisaniemi,2024-05-28,25.9,15.5
Helsinki Kaisaniemi,2024-05-29,24.6,14.5
Helsinki Kaisaniemi,2024-05-30,23.3,16.2
Helsinki Kaisaniemi,2024-05-31,26.3,16.8
Helsinki Kaisaniemi,2024-06-01,26.3,17.3
Helsinki Kaisaniemi,2024-06-02,23.8,16.6
Helsinki Kaisaniemi,2024-06-03,24.8,15.9
Helsinki Kaisaniemi,2024-06-04,23.0,17.1
Helsinki Kaisaniemi,2024-06-05,22.2,13.2
Helsinki Kaisaniemi,2024-06-06,19.1,13.5
Helsinki Kaisaniemi,2024-06-07,18.2,10.4
Helsinki Kaisaniemi,2024-06-08,16.8,9.3
Helsinki Kaisaniemi,2024-06-09,15.1,11.6
Helsinki Kaisaniemi,2024-06-10,16.8,8.0
Helsinki Kaisaniemi,2024-06-11,17.6,10.5
Helsinki Kaisaniemi,2024-06-12,16.6,11.5
Helsinki Kaisaniemi,2024-06-13,16.8,11.9
Helsinki Kaisaniemi,2024-06-14,17.5,11.4
Helsinki Kaisaniemi,2024-06-15,17.4,9.5
Helsinki Kaisaniemi,2024-06-16,20.8,13.8
Helsinki Kaisaniemi,2024-06-17,22.4,15.2
Helsinki Kaisaniemi,2024-06-18,20.5,15.2
Helsinki Kaisaniemi,2024-06-19,18.1,13.4
Helsinki Kaisaniemi,2024-06-20,20.4,13.2
Helsinki Kaisaniemi,2024-06-21,22.1,11.4
Helsinki Kaisaniemi,2024-06-22,20.2,10.9
Helsinki Kaisaniemi,2024-06-23,22.2,12.3
