Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,2,1,00:00,UTC,-1,8,0.3,-,1.3,-1.3
2023,2,1,06:00,UTC,-,-,-,-4.5,-,-
2023,2,2,00:00,UTC,-1,8,-1.4,-,0.4,-2.7
2023,2,2,06:00,UTC,-,-,-,-3.7,-,-
2023,2,3,00:00,UTC,-1,9,-3.2,-,-1.4,-4.2
2023,2,3,06:00,UTC,-,-,-,-3.6,-,-
2023,2,4,00:00,UTC,-1,9,-5.2,-,-2.9,-6.4
2023,2,4,06:00,UTC,-,-,-,-5.5,-,-
2023,2,5,00:00,UTC,1,9,-3.6,-,0.8,-10.6
2023,2,5,06:00,UTC,-,-,-,-12.7,-,-
2023,2,6,00:00,UTC,-1,10,-1.2,-,2.5,-2.9
2023,2,6,06:00,UTC,-,-,-,-5.4,-,-
2023,2,7,00:00,UTC,0.8,10,0.6,-,1.8,-4.1
2023,2,7,06:00,UTC,-,-,-,-7.5,-,-
2023,2,8,00:00,UTC,-1,8,2,-,2.7,1.1
2023,2,8,06:00,UTC,-,-,-,0.7,-,-
2023,2,9,00:00,UTC,3,6,1.7,-,2.5,1
2023,2,9,06:00,UTC,-,-,-,0.8,-,-
2023,2,10,00:00,UTC,6,5,0.4,-,2,-0.9
2023,2,10,06:00,UTC,-,-,-,-0.4,-,-
2023,2,11,00:00,UTC,0.4,12,-2.1,-,0.4,-4.4
2023,2,11,06:00,UTC,-,-,-,-3,-,-
2023,2,12,00:00,UTC,0.1,13,-1.2,-,2.5,-6.8
2023,2,13,00:00,UTC,-1,11,4.2,-,7.1,0
2023,2,13,06:00,UTC,-,-,-,-5.2,-,-
2023,2,14,00:00,UTC,-1,8,2,-,5.5,-1
2023,2,14,06:00,UTC,-,-,-,-3.7,-,-
2023,2,15,00:00,UTC,0.6,9,0.3,-,3.1,-2.5
2023,2,15,06:00,UTC,-,-,-,-5.5,-,-
2023,2,16,00:00,UTC,2.8,8,1.1,-,1.5,0.3
2023,2,16,06:00,UTC,-,-,-,0,-,-
2023,2,17,00:00,UTC,11.5,6,1.5,-,2.1,1
2023,2,17,06:00,UTC,-,-,-,0.6,-,-
2023,2,18,00:00,UTC,10.5,13,-0.7,-,1.8,-1.1
2023,2,19,00:00,UTC,3,22,-2.8,-,-0.8,-4.2
2023,2,20,00:00,UTC,0.1,23,-4.8,-,-2.2,-10.4
2023,2,21,00:00,UTC,0.2,22,-5.9,-,-2.2,-6.8
2023,2,21,06:00,UTC,-,-,-,-6.3,-,-
2023,2,22,00:00,UTC,0,20,-10.1,-,-6,-13.4
2023,2,22,06:00,UTC,-,-,-,-16.8,-,-
2023,2,23,00:00,UTC,6.1,20,-3.5,-,-0.4,-12.5
2023,2,23,06:00,UTC,-,-,-,-22.3,-,-
2023,2,24,00:00,UTC,-1,24,-1.9,-,-0.3,-2.6
2023,2,24,06:00,UTC,-,-,-,-4.6,-,-
2023,2,25,00:00,UTC,0.5,23,-3.9,-,-1.2,-5.6
2023,2,25,06:00,UTC,-,-,-,-5.4,-,-
2023,2,26,00:00,UTC,-1,23,-6,-,-2.6,-8.7
2023,2,26,06:00,UTC,-,-,-,-12,-,-
2023,2,27,00:00,UTC,0,22,-4.5,-,1.3,-12.2
2023,2,27,06:00,UTC,-,-,-,-20.3,-,-
2023,2,28,00:00,UTC,-1,22,1.1,-,3.3,-0.8
2023,2,28,06:00,UTC,-,-,-,-0.8,-,-
2023,3,1,00:00,UTC,-1,20,1.1,-,5.6,-3.1
2023,3,1,06:00,UTC,-,-,-,-7.3,-,-
2023,3,2,00:00,UTC,-1,19,2.4,-,6.2,-0.4
2023,3,2,06:00,UTC,-,-,-,-5.3,-,-
2023,3,3,00:00,UTC,1.3,18,1.3,-,4.6,-0.9
2023,3,3,06:00,UTC,-,-,-,-2.3,-,-
2023,3,4,00:00,UTC,1.1,19,-0.5,-,0.7,-1.2
2023,3,4,06:00,UTC,-,-,-,-5,-,-
2023,3,5,00:00,UTC,-1,21,-2,-,-0.8,-2.9
2023,3,5,06:00,UTC,-,-,-,-3.6,-,-
2023,3,6,00:00,UTC,0.1,21,-4.5,-,-2.1,-7.2
2023,3,6,06:00,UTC,-,-,-,-7.4,-,-
2023,3,7,00:00,UTC,1.5,22,-6.2,-,-2.5,-11.8
2023,3,7,06:00,UTC,-,-,-,-17.1,-,-
2023,3,8,00:00,UTC,0.2,22,-3.9,-,-2.3,-5.6
2023,3,8,06:00,UTC,-,-,-,-3.6,-,-
2023,3,9,00:00,UTC,-1,22,-8.2,-,-2.8,-12.7
2023,3,9,06:00,UTC,-,-,-,-14.5,-,-
2023,3,10,00:00,UTC,-1,22,-2.1,-,0.7,-10.4
2023,3,10,06:00,UTC,-,-,-,-16.8,-,-
2023,3,11,00:00,UTC,3.4,22,-4.7,-,-2.2,-6
2023,3,11,06:00,UTC,-,-,-,-11.7,-,-
2023,3,12,00:00,UTC,-1,27,-4.1,-,0.1,-8.1
2023,3,12,06:00,UTC,-,-,-,-10.8,-,-
2023,3,13,00:00,UTC,18.8,26,-2.7,-,1.4,-7.6
2023,3,13,06:00,UTC,-,-,-,-13.8,-,-
