Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,2,1,00:00,UTC,-,-,-3.7,-,-2,-7.3
2023,2,2,00:00,UTC,-,-,-12.6,-,-2.9,-20.8
2023,2,3,00:00,UTC,-,-,-23.9,-,-20.4,-26.3
2023,2,4,00:00,UTC,-,-,-20,-,-17,-26.5
2023,2,5,00:00,UTC,-,-,-13.9,-,-9.9,-18.7
2023,2,6,00:00,UTC,-,-,-6.8,-,-3.3,-11.5
2023,2,7,00:00,UTC,-,-,1.2,-,4,-3.4
2023,2,8,00:00,UTC,-,-,-0.8,-,1.9,-3.5
2023,2,9,00:00,UTC,-,-,0.2,-,2.2,-1.6
2023,2,10,00:00,UTC,-,-,-6.4,-,-0.6,-12.6
2023,2,11,00:00,UTC,-,-,-8.5,-,-4,-14.4
2023,2,12,00:00,UTC,-,-,-4.2,-,1,-8.7
2023,2,13,00:00,UTC,-,-,-0.1,-,3.1,-1.6
2023,2,14,00:00,UTC,-,-,-2.4,-,0.2,-6
2023,2,15,00:00,UTC,-,-,-3,-,0.6,-5
2023,2,16,00:00,UTC,-,-,-1.4,-,-0.5,-5.1
2023,2,17,00:00,UTC,-,-,-1.2,-,-0.2,-2.2
2023,2,18,00:00,UTC,-,-,-1.9,-,-0.6,-3.1
2023,2,19,00:00,UTC,-,-,-6.8,-,-3,-9.1
2023,2,20,00:00,UTC,-,-,-10,-,-6.9,-13.1
2023,2,21,00:00,UTC,-,-,-20.3,-,-12.3,-24.4
2023,2,22,00:00,UTC,-,-,-21.9,-,-17.5,-28.5
2023,2,23,00:00,UTC,-,-,-10.2,-,-8.7,-20.3
2023,2,24,00:00,UTC,-,-,-7.5,-,-4.8,-9.8
2023,2,25,00:00,UTC,-,-,-11.1,-,-4.6,-18.2
2023,2,26,00:00,UTC,-,-,-12,-,-8.5,-19.3
2023,2,27,00:00,UTC,-,-,-3.1,-,4.4,-8.5
2023,2,28,00:00,UTC,-,-,-3.7,-,-1.8,-6.2
2023,3,1,00:00,UTC,-,-,-1.9,-,-0.8,-3.7
2023,3,2,00:00,UTC,-,-,-2.8,-,1.5,-8.5
2023,3,3,00:00,UTC,-,-,-3.5,-,-0.9,-6
2023,3,4,00:00,UTC,-,-,-4,-,-1.6,-5.4
2023,3,5,00:00,UTC,-,-,-6.8,-,-4.1,-8.3
2023,3,6,00:00,UTC,-,-,-17.3,-,-8.3,-26.3
2023,3,7,00:00,UTC,-,-,-20.7,-,-12.8,-27.5
2023,3,8,00:00,UTC,-,-,-18.6,-,-8.9,-29.7
2023,3,9,00:00,UTC,-,-,-10.5,-,-6.9,-14.2
2023,3,10,00:00,UTC,-,-,-11.7,-,-8,-17.1
2023,3,11,00:00,UTC,-,-,-12.8,-,-6.5,-20.1
2023,3,12,00:00,UTC,-,-,-11.9,-,-6.9,-16.5
2023,3,13,00:00,UTC,-,-,-15.5,-,-3,-26.6
2023,3,14,00:00,UTC,-,-,-10.4,-,-6.6,-16.8
2023,3,15,00:00,UTC,-,-,-4.8,-,-3.2,-7.7
2023,3,16,00:00,UTC,-,-,-9,-,-3.1,-14.3
2023,3,17,00:00,UTC,-,-,-14.3,-,-5.2,-23.4
2023,3,18,00:00,UTC,-,-,-11.6,-,-4.7,-24.5
2023,3,19,00:00,UTC,-,-,-4.5,-,0.2,-8.3
2023,3,20,00:00,UTC,-,-,-6,-,-2.5,-9.7
2023,3,21,00:00,UTC,-,-,-11.5,-,-4.6,-21.4
2023,3,22,00:00,UTC,-,-,-14,-,-6.5,-20.6
2023,3,23,00:00,UTC,-,-,-19.6,-,-7.1,-30.8
2023,3,24,00:00,UTC,-,-,-17.8,-,-6.3,-29
2023,3,25,00:00,UTC,-,-,-13.9,-,-4.8,-26
