Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,2,1,00:00,UTC,-,-,-5.6,-,-3.9,-9.3
2023,2,2,00:00,UTC,-,-,-15.9,-,-6.6,-23.6
2023,2,3,00:00,UTC,-,-,-27.1,-,-22.3,-30.6
2023,2,4,00:00,UTC,-,-,-23,-,-18,-31.5
2023,2,5,00:00,UTC,-,-,-15.8,-,-12,-22.4
2023,2,6,00:00,UTC,-,-,-8.7,-,-3.6,-20
2023,2,7,00:00,UTC,-,-,1.1,-,4.2,-3.9
2023,2,8,00:00,UTC,-,-,-1.3,-,1.1,-5.1
2023,2,9,00:00,UTC,-,-,-1.8,-,1.6,-2.7
2023,2,10,00:00,UTC,-,-,-8.9,-,-2.2,-14.5
2023,2,11,00:00,UTC,-,-,-9.2,-,-5.3,-17.6
2023,2,12,00:00,UTC,-,-,-4.2,-,-0.1,-9.3
2023,2,13,00:00,UTC,-,-,-1.1,-,1.6,-3.1
2023,2,14,00:00,UTC,-,-,-3.6,-,-0.5,-8.6
2023,2,15,00:00,UTC,-,-,-5.6,-,-3,-10.5
2023,2,16,00:00,UTC,-,-,-3,-,-1.8,-5.6
2023,2,17,00:00,UTC,-,-,-3.7,-,-2.6,-4.5
2023,2,18,00:00,UTC,-,-,-3.4,-,-1.7,-5.5
2023,2,19,00:00,UTC,-,-,-7,-,-3.7,-10.2
2023,2,20,00:00,UTC,-,-,-10.3,-,-8.4,-11.7
2023,2,21,00:00,UTC,-,-,-22,-,-11.6,-28.5
2023,2,22,00:00,UTC,-,-,-19.7,-,-15.8,-24.7
2023,2,23,00:00,UTC,-,-,-8.9,-,-6.8,-15.9
2023,2,24,00:00,UTC,-,-,-13.9,-,-5.7,-20.7
2023,2,25,00:00,UTC,-,-,-15.9,-,-8.5,-25.1
2023,2,26,00:00,UTC,-,-,-11.1,-,-6,-17.9
2023,2,27,00:00,UTC,-,-,-3.7,-,3.8,-14.8
2023,2,28,00:00,UTC,-,-,-5.7,-,-3.6,-7.4
2023,3,1,00:00,UTC,-,-,-2.3,-,1.8,-7.9
2023,3,2,00:00,UTC,-,-,-4.1,-,1.7,-7.8
2023,3,3,00:00,UTC,-,-,-7.2,-,-1.3,-11.5
2023,3,4,00:00,UTC,-,-,-13.7,-,-5.9,-23.6
2023,3,5,00:00,UTC,-,-,-11.2,-,-5.3,-18.8
2023,3,6,00:00,UTC,-,-,-22.4,-,-13,-32.3
2023,3,7,00:00,UTC,-,-,-21.8,-,-14.7,-28.4
2023,3,8,00:00,UTC,-,-,-21,-,-12.2,-31.6
2023,3,9,00:00,UTC,-,-,-9.2,-,-4.2,-19.3
2023,3,10,00:00,UTC,-,-,-14.3,-,-5.8,-20.2
2023,3,11,00:00,UTC,-,-,-17.3,-,-7.5,-29.6
2023,3,12,00:00,UTC,-,-,-17.3,-,-9.4,-26
2023,3,13,00:00,UTC,-,-,-16.7,-,-6,-29.3
2023,3,14,00:00,UTC,-,-,-8.5,-,-7.3,-10.8
2023,3,15,00:00,UTC,-,-,-6.2,-,-4.8,-8.7
2023,3,16,00:00,UTC,-,-,-12,-,-4.7,-21.2
2023,3,17,00:00,UTC,-,-,-17.1,-,-6.6,-29.5
2023,3,18,00:00,UTC,-,-,-8.4,-,-5.1,-15.1
2023,3,19,00:00,UTC,-,-,-7.4,-,-1.5,-16.4
2023,3,20,00:00,UTC,-,-,-7.6,-,-2.9,-11.9
2023,3,21,00:00,UTC,-,-,-9.5,-,-4.6,-16.6
2023,3,22,00:00,UTC,-,-,-14.1,-,-6.6,-22.6
2023,3,23,00:00,UTC,-,-,-20.5,-,-9,-32.1
2023,3,24,00:00,UTC,-,-,-20.8,-,-6.9,-35.2
2023,3,25,00:00,UTC,-,-,-18.2,-,-8.4,-28.2
